,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
282,31559.135000000002,31552.345,31609.364999999998,31588.059999999998,31713.48
283,31564.1025,31552.345,31655.31,31629.84,31726.78
284,31567.4675,31552.345,31655.31,31629.84,31720.15
285,31573.99,31552.345,31659.385000000002,31629.84,31734.39
286,31573.99,31552.345,31659.620000000003,31629.84,31714.5
287,31573.99,31552.345,31661.205,31629.84,31735.54
288,31573.99,31552.345,31661.27,31629.84,31728.37
289,31572.9075,31552.345,31661.27,31629.84,31742.0
290,31572.1575,31552.345,31673.575,31629.84,31723.04
291,31566.267499999998,31552.345,31683.195,31630.335,31720.98
292,31566.135,31552.345,31678.815,31630.335,31734.54
293,31565.629999999997,31552.345,31678.815,31630.335,31726.15
294,31563.637499999997,31552.345,31676.1,31639.31,31748.97
295,31562.892499999998,31552.345,31676.095,31639.31,31778.07
296,31562.892499999998,31552.345,31670.55,31645.2,31758.93
297,31562.892499999998,31552.345,31672.839999999997,31646.32,31770.08
298,31562.28,31552.345,31672.839999999997,31651.145,31765.0
299,31562.28,31552.345,31674.96,31651.145,31733.1
300,31562.5275,31552.345,31679.265,31655.31,31745.23
301,31562.5275,31552.345,31681.805,31655.31,31732.45
302,31562.5275,31552.345,31704.309999999998,31666.184999999998,31727.0
303,31567.015,31552.345,31721.45,31682.85,31725.4
304,31567.015,31552.345,31721.45,31684.434999999998,31718.98
305,31581.940000000002,31557.535000000003,31721.45,31684.5,31721.44
306,31582.5,31557.535000000003,31721.45,31684.5,31728.55
307,31584.912500000002,31557.535000000003,31724.43,31696.805,31716.77
308,31598.712499999998,31571.335,31725.085,31706.425000000003,31707.58
309,31642.575,31622.125,31725.085,31714.309999999998,31707.0
310,31642.575,31628.0,31743.925000000003,31714.309999999998,31677.94
311,31644.612500000003,31629.84,31744.65,31714.309999999998,31664.47
312,31644.730000000003,31629.84,31732.19,31714.309999999998,31684.91
313,31645.5225,31629.84,31728.22,31714.309999999998,31667.16
314,31645.555,31629.84,31728.22,31714.309999999998,31665.35
315,31645.555,31629.84,31726.269999999997,31714.309999999998,31678.5
316,31651.7075,31629.84,31726.765,31716.43,31660.62
317,31656.765,31629.84,31726.765,31720.735,31668.32
318,31654.574999999997,31629.84,31728.39,31720.735,31664.4
319,31654.574999999997,31629.84,31728.39,31720.739999999998,31673.4
320,31657.705,31629.84,31729.845,31721.45,31689.35
321,31657.7025,31629.84,31750.29,31725.465,31694.87
322,31657.875,31629.84,31750.29,31725.465,31687.34
323,31659.579999999998,31629.84,31750.29,31725.465,31705.28
324,31661.9925,31629.84,31750.29,31728.445,31700.96
325,31663.052499999998,31629.84,31750.29,31729.1,31703.19
326,31667.2875,31629.84,31755.934999999998,31729.1,31688.2
327,31668.557500000003,31629.84,31757.02,31747.940000000002,31666.7
328,31685.247499999998,31636.64,31758.510000000002,31748.665,31691.84
329,31702.15,31653.07,31756.035,31748.665,31691.46
330,31702.942499999997,31653.07,31750.91,31748.665,31697.13
331,31702.975,31653.07,31742.5,31745.445,31713.36
332,31702.975,31653.07,31742.47,31745.445,31712.9
333,31710.6175,31653.07,31732.5,31745.445,31705.1
334,31715.755,31653.07,31724.92,31745.445,31697.82
335,31719.6975,31653.07,31723.795,31745.445,31772.76
336,31729.1175,31653.07,31706.045,31729.705,31778.0
337,31729.48,31653.07,31701.315,31725.324999999997,31806.48
338,31723.25,31653.07,31700.394999999997,31724.405,31868.99
339,31721.265,31653.07,31700.394999999997,31724.405,31855.75
340,31721.265,31653.07,31697.855,31721.864999999998,31845.94
341,31720.289999999997,31653.07,31697.855,31721.864999999998,31836.43
342,31721.5975,31653.07,31683.785000000003,31717.190000000002,31803.0
343,31723.75,31653.565000000002,31683.785000000003,31717.190000000002,31803.13
344,31724.5625,31653.565000000002,31677.245000000003,31717.190000000002,31814.05
345,31724.565,31653.565000000002,31665.875,31717.190000000002,31799.06
346,31725.6475,31662.54,31669.71,31717.190000000002,31798.81
347,31737.877500000002,31666.555,31671.245000000003,31714.245000000003,31800.57
348,31737.877500000002,31672.445,31671.245000000003,31714.245000000003,31797.38
349,31737.877500000002,31673.565000000002,31674.39,31714.215,31788.0
350,31739.3675,31678.39,31682.21,31704.245000000003,31807.28
351,31739.695,31678.39,31685.905,31696.665,31813.13
352,31742.517499999998,31682.555,31688.59,31695.54,31855.0
353,31752.480000000003,31682.555,31692.08,31693.53,31832.09
354,31753.5875,31686.629999999997,31692.364999999998,31693.18,31807.45
355,31752.35,31686.864999999998,31692.364999999998,31693.18,31803.73
356,31749.7875,31688.449999999997,31692.364999999998,31693.18,31800.28
357,31743.9725,31688.515,31692.364999999998,31693.18,31805.44
358,31743.9575,31688.515,31692.364999999998,31693.18,31809.99
359,31738.9725,31700.82,31695.265,31685.11,31800.29
360,31735.1825,31710.440000000002,31695.265,31685.11,31791.15
361,31734.62,31718.324999999997,31719.395,31709.24,31784.0
362,31717.875,31718.324999999997,31732.85,31721.245000000003,31786.19
363,31713.32,31718.324999999997,31759.34,31739.72,31775.85
364,31712.399999999998,31718.324999999997,31793.725,31771.245000000003,31774.85
365,31712.399999999998,31718.324999999997,31794.635000000002,31771.245000000003,31767.91
366,31709.86,31718.324999999997,31794.635000000002,31771.245000000003,31757.56
367,31709.86,31718.324999999997,31794.635000000002,31771.245000000003,31768.6
368,31700.487500000003,31717.190000000002,31794.635000000002,31774.940000000002,31792.79
369,31700.487500000003,31717.190000000002,31798.415,31777.625,31770.13
370,31697.217500000002,31717.190000000002,31833.440000000002,31781.114999999998,31800.0
371,31691.5325,31717.190000000002,31835.9,31781.4,31811.11
372,31693.45,31717.190000000002,31842.0,31781.4,31797.83
373,31692.745000000003,31717.190000000002,31841.4,31781.4,31781.65
