"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2021","0.017280","0.015790","0.017485","0.015790","2.73M","9.43%"
"Jan 21, 2021","0.015790","0.017900","0.017900","0.015790","2.78M","-11.79%"
"Jan 20, 2021","0.017900","0.018010","0.018222","0.017498","1.77M","-0.61%"
"Jan 19, 2021","0.018010","0.019148","0.019148","0.018010","2.31M","-5.94%"
"Jan 18, 2021","0.019148","0.017417","0.019148","0.017300","5.23M","9.93%"
"Jan 17, 2021","0.017417","0.016239","0.017417","0.016000","1.74M","7.26%"
"Jan 16, 2021","0.016239","0.016307","0.017045","0.016239","1.71M","-0.42%"
"Jan 15, 2021","0.016307","0.016256","0.016540","0.016256","1.86M","0.31%"
"Jan 14, 2021","0.016256","0.016390","0.016466","0.016256","1.51M","-0.82%"
"Jan 13, 2021","0.016390","0.014732","0.016390","0.014732","2.01M","11.26%"
"Jan 12, 2021","0.014732","0.014974","0.015400","0.014732","1.95M","-1.62%"
"Jan 11, 2021","0.014974","0.016825","0.016825","0.014721","5.72M","-11.00%"
"Jan 10, 2021","0.016825","0.017675","0.018485","0.016680","4.87M","-4.81%"
"Jan 09, 2021","0.017675","0.016275","0.017675","0.016275","4.20M","8.60%"
"Jan 08, 2021","0.016275","0.015616","0.016275","0.015413","5.01M","4.22%"
"Jan 07, 2021","0.015616","0.015769","0.016315","0.015616","6.24M","-0.97%"
"Jan 06, 2021","0.015769","0.014884","0.015769","0.014884","3.80M","5.94%"
"Jan 05, 2021","0.014884","0.013667","0.015004","0.013147","7.73M","8.90%"
"Jan 04, 2021","0.013667","0.014057","0.014057","0.013298","3.37M","-2.77%"
"Jan 03, 2021","0.014057","0.013053","0.014057","0.012400","3.80M","7.69%"
"Jan 02, 2021","0.013053","0.012970","0.013200","0.012970","1.72M","0.64%"
"Jan 01, 2021","0.012970","0.012587","0.012970","0.012587","1.80M","3.04%"
