,Unnamed: 0,actual,predicted,rec,date,open,high,low,close,volume
1142,1142,3011.85,3029.361572,sell,2021-08-09 00:30:00+04:30,2984.78,3065,2962,3011.85,127349.0162
1143,1143,2948.31,3008.730957,buy,2021-08-09 04:30:00+04:30,3011.84,3035,2900,2948.31,220148.0447
1144,1144,2944.11,2968.308594,sell,2021-08-09 08:30:00+04:30,2948.3,2964.9,2893.23,2944.11,114167.2246
1145,1145,3133.42,2941.403076,sell,2021-08-09 12:30:00+04:30,2944.11,3141.64,2932.11,3133.42,251395.9743
1146,1146,3166.61,3009.210693,sell,2021-08-09 16:30:00+04:30,3133.41,3172,3080.16,3166.61,225710.9862
1147,1147,3147.74,3074.931641,sell,2021-08-09 20:30:00+04:30,3166.62,3186,3128.08,3147.74,130113.8435
1148,1148,3160.52,3111.979248,sell,2021-08-10 00:30:00+04:30,3147.74,3178.97,3036.25,3160.52,188048.5429
1149,1149,3115.39,3134.20874,buy,2021-08-10 04:30:00+04:30,3160.51,3200,3092.37,3115.39,140435.8289
1150,1150,3141.21,3130.102051,sell,2021-08-10 08:30:00+04:30,3115.39,3147.78,3089.42,3141.21,99607.53424
1151,1151,3122.97,3134.100342,buy,2021-08-10 12:30:00+04:30,3141.2,3172,3111.78,3122.97,119081.2633
1152,1152,3121.05,3128.715576,buy,2021-08-10 16:30:00+04:30,3122.97,3233,3093,3121.05,255234.0952
1153,1153,3142.71,3125.159424,sell,2021-08-10 20:30:00+04:30,3121.04,3145,3051.22,3142.71,144171.3895
1154,1154,3141.66,3127.262695,sell,2021-08-11 00:30:00+04:30,3142.83,3190,3122,3141.66,122145.6333
1155,1155,3159.11,3130.517822,sell,2021-08-11 04:30:00+04:30,3141.14,3186.89,3120.27,3159.11,95533.17099
1156,1156,3231.74,3139.393066,sell,2021-08-11 08:30:00+04:30,3159.21,3248.78,3146.47,3231.74,177955.2268
1157,1157,3214.39,3175.931885,sell,2021-08-11 12:30:00+04:30,3231.75,3248.47,3204.05,3214.39,110121.5412
