,actual,predicted
484,2096.73,2125.76513671875
485,2092.03,2048.066650390625
486,2194.8,2078.024658203125
487,2186.65,2151.606201171875
488,2324.7,2113.630615234375
489,2330.03,2239.14501953125
490,2284.0,2270.978759765625
491,2294.18,2233.42919921875
492,2264.98,2265.6103515625
493,2442.8,2212.62841796875
494,2436.9400000000005,2330.024169921875
495,2357.06,2357.287109375
496,2390.48,2290.203369140625
497,2471.4399999999996,2323.61376953125
498,2544.7000000000003,2394.633544921875
499,2610.58,2395.6083984375
500,2535.54,2478.448974609375
501,2397.94,2426.34375
502,2282.74,2276.7451171875
503,2132.45,2132.590576171875
504,2295.03,2008.694091796875
505,2333.84,2139.62158203125
506,2363.92,2167.416015625
507,2367.39,2250.802490234375
508,2296.81,2301.349365234375
509,2273.34,2211.406982421875
510,2179.43,2204.12890625
511,2250.6,2098.44677734375
512,2269.71,2138.142333984375
513,2213.35,2189.48486328125
514,2187.18,2148.940673828125
515,2193.43,2142.1591796875
516,2288.0,2150.625732421875
517,2341.59,2193.289306640625
518,2268.57,2230.992431640625
519,2320.49,2196.14453125
520,2455.16,2203.727783203125
521,2450.0,2338.865966796875
522,2517.3,2343.64013671875
523,2508.19,2397.527587890625
524,2490.91,2426.54296875
525,2532.6,2410.689208984375
526,2493.16,2430.822998046875
527,2545.63,2420.244140625
528,2572.7,2466.653076171875
529,2663.01,2496.648193359375
530,2622.55,2550.633056640625
531,2666.13,2546.869384765625
532,2627.2900000000004,2592.378662109375
533,2612.24,2569.2138671875
534,2692.0400000000004,2522.545654296875
535,2681.02,2610.206787109375
536,2737.97,2596.43212890625
537,2748.24,2645.164306640625
538,2694.15,2665.095703125
539,2730.6300000000006,2634.87353515625
540,2762.22,2664.05712890625
541,2777.39,2683.345703125
542,2725.9499999999994,2687.8447265625
543,2757.04,2654.27099609375
544,2743.41,2699.77783203125
545,2774.48,2691.492919921875
546,2739.02,2708.933349609375
547,2736.46,2696.07666015625
548,2783.86,2677.230712890625
