,date,ITS_9_tenkensen,IKS_26_kijunsen,ISA_9_spanA,ISB_26_spanB,chiku,kijunAndSpanBCross,tenkensenAndkijunsen,priceAndABSpan,tenkensenAndPriceWithKijunsen,sAAndB
217,2021-07-11 09:05:00+04:30,1,1,0,0,1.0,0,0,0,0,0
218,2021-07-11 09:06:00+04:30,0,0,0,0,0.0,0,0,0,0,0
219,2021-07-11 09:07:00+04:30,1,1,0,0,1.0,0,0,0,0,0
220,2021-07-11 09:08:00+04:30,1,1,0,0,1.0,0,1,0,1,0
221,2021-07-11 09:09:00+04:30,1,1,0,0,1.0,0,1,0,1,0
222,2021-07-11 09:10:00+04:30,1,1,1,0,1.0,0,1,0,1,0
223,2021-07-11 09:11:00+04:30,1,1,1,0,1.0,0,1,0,1,0
224,2021-07-11 09:12:00+04:30,1,1,1,1,1.0,0,1,1,1,0
225,2021-07-11 09:13:00+04:30,1,1,1,1,1.0,0,1,1,1,0
226,2021-07-11 09:14:00+04:30,1,1,1,1,1.0,0,1,1,1,0
227,2021-07-11 09:15:00+04:30,1,1,1,0,0.0,0,1,0,1,0
228,2021-07-11 09:16:00+04:30,0,1,0,0,1.0,0,1,0,0,0
229,2021-07-11 09:17:00+04:30,1,1,1,1,1.0,0,1,1,1,0
230,2021-07-11 09:18:00+04:30,1,1,1,1,1.0,0,1,1,1,0
231,2021-07-11 09:19:00+04:30,1,1,1,1,1.0,0,1,1,1,0
232,2021-07-11 09:20:00+04:30,1,1,1,1,1.0,0,1,1,1,0
233,2021-07-11 09:21:00+04:30,1,1,1,1,1.0,1,1,1,1,0
234,2021-07-11 09:22:00+04:30,1,1,1,1,1.0,1,1,1,1,0
235,2021-07-11 09:23:00+04:30,1,1,1,1,1.0,1,1,1,1,0
236,2021-07-11 09:24:00+04:30,1,1,1,1,1.0,1,1,1,1,0
237,2021-07-11 09:25:00+04:30,1,1,1,1,1.0,1,1,1,1,0
238,2021-07-11 09:26:00+04:30,0,1,1,1,1.0,1,1,1,0,0
239,2021-07-11 09:27:00+04:30,0,1,1,1,1.0,1,1,1,0,0
240,2021-07-11 09:28:00+04:30,0,1,1,1,1.0,1,1,1,0,0
241,2021-07-11 09:29:00+04:30,0,1,1,1,1.0,1,1,1,0,0
242,2021-07-11 09:30:00+04:30,1,1,1,1,1.0,1,1,1,1,0
243,2021-07-11 09:31:00+04:30,0,1,1,1,1.0,1,1,1,0,0
244,2021-07-11 09:32:00+04:30,0,0,1,1,1.0,1,1,1,0,0
245,2021-07-11 09:33:00+04:30,0,0,1,1,1.0,1,1,1,0,0
246,2021-07-11 09:34:00+04:30,0,0,1,1,1.0,1,1,1,0,0
247,2021-07-11 09:35:00+04:30,0,0,1,1,1.0,1,0,1,0,0
248,2021-07-11 09:36:00+04:30,1,0,1,1,1.0,1,0,1,0,0
249,2021-07-11 09:37:00+04:30,1,0,1,1,1.0,1,0,1,0,0
250,2021-07-11 09:38:00+04:30,1,1,1,1,1.0,1,0,1,0,0
251,2021-07-11 09:39:00+04:30,1,1,1,1,1.0,1,0,1,0,0
252,2021-07-11 09:40:00+04:30,1,1,1,1,1.0,1,1,1,1,0
253,2021-07-11 09:41:00+04:30,1,1,1,1,1.0,1,1,1,1,0
254,2021-07-11 09:42:00+04:30,1,1,1,1,1.0,1,1,1,1,0
255,2021-07-11 09:43:00+04:30,1,1,1,1,1.0,1,1,1,1,1
256,2021-07-11 09:44:00+04:30,1,1,1,1,1.0,1,1,1,1,1
257,2021-07-11 09:45:00+04:30,1,1,1,1,1.0,1,1,1,1,1
258,2021-07-11 09:46:00+04:30,1,1,1,1,1.0,1,1,1,1,1
259,2021-07-11 09:47:00+04:30,1,1,1,1,1.0,1,1,1,1,1
260,2021-07-11 09:48:00+04:30,0,1,1,1,1.0,1,1,1,0,1
261,2021-07-11 09:49:00+04:30,0,1,1,1,0.0,1,1,1,0,1
262,2021-07-11 09:50:00+04:30,0,0,1,1,0.0,1,1,1,0,1
263,2021-07-11 09:51:00+04:30,0,0,1,1,1.0,1,1,1,0,1
264,2021-07-11 09:52:00+04:30,0,1,1,1,1.0,1,1,1,0,1
265,2021-07-11 09:53:00+04:30,0,0,1,1,1.0,1,1,1,0,1
