,date,ITS_9_tenkensen,IKS_26_kijunsen,ISA_9_spanA,ISB_26_spanB,IKS_26_chiku,kijunAndSpanBCross
305,2021-06-30 06:40:00+04:30,0,0,0,0,1,0
306,2021-06-30 06:41:00+04:30,0,0,0,0,1,0
307,2021-06-30 06:42:00+04:30,0,0,0,0,1,0
308,2021-06-30 06:43:00+04:30,0,0,0,0,1,0
309,2021-06-30 06:44:00+04:30,0,0,0,0,1,0
310,2021-06-30 06:45:00+04:30,0,0,0,0,1,0
311,2021-06-30 06:46:00+04:30,1,0,0,0,1,0
312,2021-06-30 06:47:00+04:30,1,0,0,0,1,0
313,2021-06-30 06:48:00+04:30,1,0,0,0,1,0
314,2021-06-30 06:49:00+04:30,1,0,0,0,1,0
315,2021-06-30 06:50:00+04:30,1,1,0,0,0,0
316,2021-06-30 06:51:00+04:30,1,1,0,0,0,0
317,2021-06-30 06:52:00+04:30,1,1,0,0,0,0
318,2021-06-30 06:53:00+04:30,1,1,0,0,0,0
319,2021-06-30 06:54:00+04:30,1,1,0,0,0,0
320,2021-06-30 06:55:00+04:30,0,0,0,0,1,0
321,2021-06-30 06:56:00+04:30,1,1,0,0,0,0
322,2021-06-30 06:57:00+04:30,0,1,0,0,0,0
323,2021-06-30 06:58:00+04:30,1,1,0,0,0,0
324,2021-06-30 06:59:00+04:30,1,1,0,0,0,0
325,2021-06-30 07:00:00+04:30,1,1,0,0,0,0
326,2021-06-30 07:01:00+04:30,1,1,1,0,0,0
327,2021-06-30 07:02:00+04:30,1,1,1,0,0,0
328,2021-06-30 07:03:00+04:30,1,1,1,0,0,0
329,2021-06-30 07:04:00+04:30,1,1,1,1,0,0
330,2021-06-30 07:05:00+04:30,1,1,1,1,0,0
331,2021-06-30 07:06:00+04:30,0,1,1,0,0,0
332,2021-06-30 07:07:00+04:30,0,1,1,0,0,0
333,2021-06-30 07:08:00+04:30,1,1,1,0,0,0
334,2021-06-30 07:09:00+04:30,1,1,1,0,0,0
335,2021-06-30 07:10:00+04:30,1,1,1,0,0,0
336,2021-06-30 07:11:00+04:30,1,1,1,1,0,0
337,2021-06-30 07:12:00+04:30,1,1,1,1,0,1
338,2021-06-30 07:13:00+04:30,1,1,1,1,0,1
339,2021-06-30 07:14:00+04:30,1,1,1,1,0,1
340,2021-06-30 07:15:00+04:30,1,1,1,1,0,1
341,2021-06-30 07:16:00+04:30,1,1,1,1,0,1
342,2021-06-30 07:17:00+04:30,0,1,1,1,0,1
343,2021-06-30 07:18:00+04:30,1,1,1,1,0,1
344,2021-06-30 07:19:00+04:30,1,1,1,1,0,1
345,2021-06-30 07:20:00+04:30,0,1,1,1,0,1
346,2021-06-30 07:21:00+04:30,0,0,1,1,1,1
347,2021-06-30 07:22:00+04:30,0,0,1,1,1,1
348,2021-06-30 07:23:00+04:30,0,0,1,0,1,1
349,2021-06-30 07:24:00+04:30,0,0,1,0,1,1
350,2021-06-30 07:25:00+04:30,0,0,1,0,1,1
351,2021-06-30 07:26:00+04:30,0,0,1,0,1,1
352,2021-06-30 07:27:00+04:30,0,0,1,0,1,1
353,2021-06-30 07:28:00+04:30,0,0,0,0,1,1
354,2021-06-30 07:29:00+04:30,0,0,1,0,1,1
355,2021-06-30 07:30:00+04:30,0,0,0,0,1,1
356,2021-06-30 07:31:00+04:30,0,0,0,0,1,1
357,2021-06-30 07:32:00+04:30,0,0,0,0,1,1
358,2021-06-30 07:33:00+04:30,0,0,0,0,1,1
359,2021-06-30 07:34:00+04:30,0,0,0,0,1,1
360,2021-06-30 07:35:00+04:30,0,0,0,0,1,1
361,2021-06-30 07:36:00+04:30,0,0,0,0,1,1
362,2021-06-30 07:37:00+04:30,0,0,0,0,1,0
363,2021-06-30 07:38:00+04:30,0,0,0,0,1,0
364,2021-06-30 07:39:00+04:30,0,0,0,0,1,0
365,2021-06-30 07:40:00+04:30,0,0,0,0,1,0
366,2021-06-30 07:41:00+04:30,0,0,0,0,1,0
367,2021-06-30 07:42:00+04:30,0,0,0,0,1,0
368,2021-06-30 07:43:00+04:30,0,0,0,0,1,0
369,2021-06-30 07:44:00+04:30,0,0,0,0,1,0
370,2021-06-30 07:45:00+04:30,0,0,0,0,1,0
371,2021-06-30 07:46:00+04:30,0,0,0,0,1,0
372,2021-06-30 07:47:00+04:30,0,0,0,0,1,0
373,2021-06-30 07:48:00+04:30,0,0,0,0,1,0
374,2021-06-30 07:49:00+04:30,0,0,0,0,1,0
375,2021-06-30 07:50:00+04:30,0,0,0,0,1,0
376,2021-06-30 07:51:00+04:30,0,0,0,0,1,0
377,2021-06-30 07:52:00+04:30,0,0,0,0,1,0
378,2021-06-30 07:53:00+04:30,0,0,0,0,1,0
379,2021-06-30 07:54:00+04:30,0,0,0,0,1,0
380,2021-06-30 07:55:00+04:30,0,0,0,0,1,0
381,2021-06-30 07:56:00+04:30,0,0,0,0,1,0
382,2021-06-30 07:57:00+04:30,1,0,0,0,1,0
383,2021-06-30 07:58:00+04:30,0,0,0,0,1,0
384,2021-06-30 07:59:00+04:30,0,0,0,0,1,0
385,2021-06-30 08:00:00+04:30,1,0,0,0,1,0
386,2021-06-30 08:01:00+04:30,1,0,0,0,1,0
387,2021-06-30 08:02:00+04:30,1,0,0,0,1,0
388,2021-06-30 08:03:00+04:30,0,0,0,0,1,0
389,2021-06-30 08:04:00+04:30,1,0,0,0,1,0
390,2021-06-30 08:05:00+04:30,1,0,0,0,1,0
391,2021-06-30 08:06:00+04:30,0,0,0,0,1,0
392,2021-06-30 08:07:00+04:30,0,0,0,0,1,0
393,2021-06-30 08:08:00+04:30,1,0,0,0,1,0
394,2021-06-30 08:09:00+04:30,1,0,0,0,1,0
