,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
322,33441.927500000005,33443.770000000004,33543.49,33572.865,33608.33
323,33445.270000000004,33443.770000000004,33533.715,33569.854999999996,33594.89
324,33468.5975,33443.770000000004,33514.765,33552.130000000005,33606.74
325,33503.560000000005,33472.365000000005,33507.119999999995,33546.479999999996,33648.42
326,33503.707500000004,33472.365000000005,33507.119999999995,33546.479999999996,33676.75
327,33513.1825,33472.365000000005,33507.119999999995,33546.479999999996,33665.52
328,33513.1875,33472.365000000005,33508.425,33546.479999999996,33660.0
329,33513.1875,33472.365000000005,33511.75,33546.479999999996,33631.88
330,33516.015,33472.365000000005,33511.75,33546.479999999996,33616.48
331,33517.4375,33472.365000000005,33511.75,33546.479999999996,33619.4
332,33525.340000000004,33472.365000000005,33521.869999999995,33546.479999999996,33608.19
333,33550.9175,33478.365000000005,33521.869999999995,33546.479999999996,33605.15
334,33560.23,33481.32000000001,33526.455,33546.479999999996,33606.91
335,33561.63,33482.72,33529.744999999995,33531.79,33596.67
336,33561.63,33482.72,33561.274999999994,33522.125,33624.97
337,33562.229999999996,33482.72,33570.905,33526.630000000005,33659.99
338,33566.847499999996,33482.72,33570.905,33526.630000000005,33658.44
339,33564.3925,33482.72,33571.005000000005,33526.630000000005,33675.0
340,33562.134999999995,33482.72,33575.61,33526.630000000005,33667.98
341,33570.447499999995,33482.72,33575.61,33526.630000000005,33662.61
342,33572.71,33482.72,33575.61,33526.630000000005,33632.84
343,33565.1925,33482.72,33582.125,33526.630000000005,33644.38
344,33567.322499999995,33482.72,33583.825,33526.630000000005,33641.37
345,33562.494999999995,33482.72,33582.485,33526.630000000005,33625.96
346,33562.494999999995,33482.72,33582.479999999996,33526.630000000005,33620.75
347,33562.82,33482.72,33582.479999999996,33526.630000000005,33610.85
348,33558.1775,33482.72,33582.479999999996,33526.630000000005,33595.01
349,33551.784999999996,33482.72,33582.479999999996,33526.630000000005,33602.25
350,33533.4475,33482.72,33582.479999999996,33526.630000000005,33583.03
351,33526.799999999996,33482.72,33610.19,33558.92,33613.68
352,33526.799999999996,33482.72,33623.78,33575.8,33602.06
353,33526.799999999996,33482.72,33623.78,33607.33,33669.03
354,33527.4525,33482.72,33626.19,33612.2,33689.65
355,33529.115,33482.72,33637.915,33612.2,33662.76
356,33529.115,33482.72,33641.994999999995,33612.3,33629.06
357,33529.115,33482.72,33641.994999999995,33616.905,33638.21
358,33534.174999999996,33482.72,33642.3,33616.905,33679.12
359,33534.174999999996,33509.36,33640.645000000004,33616.905,33662.41
360,33536.4675,33509.36,33640.305,33623.42,33685.43
361,33530.7675,33509.36,33635.69,33623.78,33695.88
362,33541.7,33509.36,33635.69,33623.78,33688.73
363,33548.7675,33510.56,33631.600000000006,33623.78,33687.64
364,33548.7675,33519.795,33631.600000000006,33623.78,33703.54
365,33548.817500000005,33520.125,33632.005000000005,33623.78,33715.79
366,33551.12,33521.59,33632.005000000005,33623.78,33729.76
367,33551.12,33540.435,33632.005000000005,33623.78,33732.01
368,33551.12,33545.11,33632.005000000005,33623.78,33732.0
369,33554.3775,33545.405,33632.05,33623.78,33715.8
370,33555.2275,33546.479999999996,33635.0,33623.78,33730.02
371,33554.5575,33546.479999999996,33647.5,33626.19,33739.82
372,33554.555,33546.479999999996,33641.155,33637.915,33740.01
373,33554.555,33546.479999999996,33637.5,33640.305,33749.99
374,33554.555,33546.479999999996,33630.229999999996,33638.53,33779.98
375,33554.555,33546.479999999996,33627.024999999994,33638.53,33781.5
376,33554.555,33546.479999999996,33623.71,33637.315,33755.51
377,33584.555,33554.335,33615.729999999996,33637.315,33732.14
378,33599.79,33567.925,33615.729999999996,33632.7,33720.86
379,33615.555,33567.925,33629.45,33632.7,33764.95
380,33619.195,33567.925,33636.625,33636.625,33745.82
381,33625.057499999995,33567.925,33639.725,33639.725,33748.63
382,33627.1475,33567.925,33639.725,33639.725,33734.41
383,33629.45,33567.925,33639.725,33639.725,33751.6
384,33629.6025,33567.925,33639.725,33639.725,33740.26
385,33628.775,33567.925,33639.725,33639.725,33718.41
386,33631.8625,33567.925,33645.05,33639.725,33708.01
387,33629.735,33567.925,33651.025,33641.515,33707.99
388,33629.735,33567.925,33664.490000000005,33645.015,33694.03
389,33627.69,33567.925,33666.31,33646.835,33685.02
